price,ppsf,total sq. ft.,days to sell,zip code,bedrooms,bathrooms,half bathrooms,year built,garage
370627,208.33,1779,22,76120,4,2.0,1,2013,True
277273,88.39,3137,103,76135,5,4.0,1,2011,True
891429,329.31,2707,122,76126,2,2.0,1,1987,False
346845,135.59,2558,94,76017,4,0.0,0,1993,True
707016,219.03,3228,206,76028,5,3.0,1,1950,False
291571,104.77,2783,107,76244,2,0.0,0,1946,True
231633,173.12,1338,56,76117,3,2,0,2016,True
477989,361.29,1323,8,76109,2,1,0,1987,True
376226,199.7,1884,213,76109,3,3.0,1,1942,False
275102,130.07,2115,5,76140,4,0.0,0,1948,False
291383,251.41,1159,128,76013,2,1,0,1957,False
707005,303.31,2331,37,76040,3,0.0,0,1987,True
243552,180.54,1349,8,76013,3,1,0,1973,True
235690,175.5,1343,190,76117,2,1,0,2008,False
375856,122.39,3071,15,76002,3,0.0,0,1981,True
378808,140.98,2687,0,76002,4,2.0,1,1937,False
383889,174.26,2203,37,76040,3,0.0,0,1978,True
460043,173.93,2645,12,76002,4,3.0,1,1941,False
68903,28.36,2430,64,76244,2,2.0,1,1936,True
269982,137.96,1957,175,76013,3,3.0,1,1992,True
1055129,211.24,4995,22,76092,5,6.0,1,2011,False
262292,183.68,1428,2,76020,2,2,0,1981,True
429106,228.98,1874,295,76036,3,0.0,0,1986,False
594537,286.39,2076,159,76126,3,0.0,0,1943,True
155315,52.63,2951,17,76040,4,4.0,1,1938,True
177331,117.05,1515,37,76020,4,0.0,0,1956,False
708098,148.23,4777,15,76052,6,5.0,1,1997,False
333048,278.7,1195,3,76013,2,1,0,1932,False
521175,217.34,2398,127,76028,2,0.0,0,1974,True
151946,105.08,1446,225,76114,3,2,0,2016,True
232414,166.72,1394,7,76117,2,2,0,1950,True
261779,122.21,2142,328,76135,4,0.0,0,1995,True
373682,350.22,1067,118,76013,2,1,0,2002,False
368583,214.29,1720,46,76180,2,2.0,1,1984,True
558978,96.24,5808,86,76109,7,4.0,1,1960,True
315547,280.74,1124,190,76013,2,1,0,1989,True
278201,116.4,2390,208,76020,4,0.0,0,1983,False
319863,183.83,1740,184,76013,3,0.0,0,2017,True
346799,165.46,2096,56,76002,3,3.0,1,1932,True
376152,192.41,1955,54,76002,2,2.0,1,1973,True
206710,134.05,1542,3,76114,4,0.0,0,2000,True
233068,178.87,1303,367,76117,3,1,0,1970,True
228385,171.46,1332,27,76117,2,2,0,1940,False
369749,126.32,2927,158,76020,5,4.0,1,1956,False
299381,193.27,1549,365,76017,4,2.0,1,1963,False
256522,110.28,2326,74,76140,4,3.0,1,1958,False
448032,122.82,3648,118,76126,5,4.0,1,1971,True
355884,238.69,1491,305,76120,3,1,0,1978,False
269379,211.44,1274,46,76013,3,1,0,2005,True
368913,97.24,3794,67,76002,3,5.0,1,1971,False
226096,34.93,6472,170,76109,7,6.0,1,1946,True
402582,147.95,2721,35,76135,4,0.0,0,1988,True
510524,176.71,2889,172,76126,3,5.0,1,1969,True
350533,195.28,1795,184,76120,3,0.0,0,1944,True
347675,218.8,1589,56,76120,4,2.0,1,1955,True
381926,168.25,2270,15,76040,2,3.0,1,1957,True
350606,243.65,1439,42,76013,3,2,0,1982,True
186917,127.68,1464,45,76114,2,1,0,1978,True
226110,117.77,1920,367,76013,2,2.0,1,1983,False
234210,171.46,1366,94,76117,2,2,0,1991,True
640000,276.46,2315,7,76028,2,3.0,1,1941,False
393798,235.38,1673,7,76120,3,2.0,1,2005,True
377232,165.02,2286,146,76135,4,0.0,0,1976,False
1320405,272.7,4842,31,76092,8,4.0,1,1938,True
367819,60.64,6066,26,76109,7,4.0,1,1981,True
805774,516.52,1560,48,76040,3,0.0,0,2007,True
746181,345.45,2160,54,76040,3,0.0,0,1962,True
328129,138.39,2371,6,76028,3,0.0,0,1950,False
334406,76.91,4348,47,76052,7,4.0,1,1955,False
277645,107.61,2580,195,76140,4,0.0,0,1957,False
270445,132.05,2048,23,76140,4,3.0,1,1950,False
130464,42.03,3104,305,76109,5,5.0,1,1996,False
771601,276.46,2791,137,76052,2,0.0,0,1993,True
425393,186.17,2285,20,76002,3,0.0,0,1956,True
667037,372.65,1790,298,76028,4,3.0,1,1960,True
354950,224.37,1582,27,76107,2,0.0,0,1985,True
367686,131.13,2804,225,76028,5,0.0,0,1960,True
371686,229.86,1617,34,76120,3,0.0,0,1947,True
300289,113.15,2654,217,76135,4,0.0,0,2006,False
247310,142.3,1738,27,76114,2,0.0,0,1936,False
386429,192.54,2007,48,76040,4,0.0,0,1990,False
315514,162.89,1937,25,76013,3,0.0,0,1992,True
428957,75.48,5683,46,76109,5,4.0,1,1988,True
295486,213.04,1387,70,76013,3,2,0,1946,False
275513,111.32,2475,254,76140,4,0.0,0,1984,False
1706588,537.17,3177,103,76092,5,4.0,1,2008,False
331522,167.52,1979,63,76002,2,3.0,1,1978,True
1339395,325.81,4111,6,76092,5,4.0,1,1985,False
351767,210.39,1672,0,76036,2,0.0,0,1960,False
405497,131.61,3081,102,76017,3,4.0,1,1934,True
1551084,305.45,5078,189,76092,6,4.0,1,1981,True
511386,209.41,2442,92,76126,4,2.0,1,1968,False
340047,251.14,1354,79,76020,3,2,0,1945,True
547172,212.74,2572,338,76126,4,0.0,0,1973,True
493453,227.29,2171,94,76028,4,2.0,1,1939,True
1125188,213.71,5265,245,76092,8,5.0,1,2000,False
368934,197.82,1865,89,76013,2,0.0,0,1991,True
283849,106.43,2667,54,76140,3,2.0,1,2004,True
281163,179.89,1563,150,76140,3,2.0,1,1940,False
289039,132.1,2188,12,76036,3,0.0,0,1971,False
367920,236.0,1559,29,76120,3,0.0,0,1970,True
316533,96.56,3278,32,76040,4,4.0,1,1963,True
225942,169.63,1332,48,76117,2,1,0,1986,False
276747,190.99,1449,131,76114,2,1,0,1987,True
656101,228.53,2871,39,76126,4,4.0,1,1980,False
497023,325.7,1526,5,76028,4,3.0,1,1991,False
87666,33.73,2599,117,76244,4,0.0,0,1963,False
235250,169.0,1392,14,76117,2,2,0,1962,False
396269,160.89,2463,102,76135,2,0.0,0,1962,True
536245,229.85,2333,70,76052,4,2.0,1,1949,False
631874,256.86,2460,240,76052,4,0.0,0,1936,False
234091,173.02,1353,167,76117,3,2,0,1949,False
339248,220.29,1540,6,76013,4,3.0,1,1957,True
390240,132.6,2943,219,76017,4,4.0,1,1979,True
467870,172.45,2713,210,76126,4,0.0,0,1971,True
551444,323.05,1707,82,76180,3,2.0,1,1957,False
63498,26.57,2390,7,75052,2,2.0,1,1930,False
229646,173.06,1327,17,76117,3,2,0,1981,True
519396,179.6,2892,30,76135,3,5.0,1,1971,False
57179,21.25,2691,20,75052,3,0.0,0,1955,True
281172,139.26,2019,173,76036,2,3.0,1,1984,True
48491,19.15,2532,171,75052,2,0.0,0,2017,False
239442,146.81,1631,38,76180,2,0.0,0,2014,True
222402,138.83,1602,19,76114,3,3.0,1,2017,False
288864,170.12,1698,49,76036,4,0.0,0,1983,True
346197,141.48,2447,43,76036,2,0.0,0,2006,False
321630,313.17,1027,203,76013,2,2,0,1975,False
132066,86.94,1519,281,76180,2,0.0,0,1979,False
312702,148.91,2100,49,76020,3,2.0,1,1967,True
322042,115.02,2800,48,76135,4,2.0,1,1971,False
235050,173.6,1354,79,76117,3,1,0,1959,True
545433,225.39,2420,212,76052,3,3.0,1,1948,True
645057,236.2,2731,130,76135,2,0.0,0,1987,False
323111,238.28,1356,16,76013,3,1,0,1984,True
420350,150.77,2788,308,76017,2,3.0,1,1998,False
233652,173.72,1345,176,76117,2,2,0,1975,True
74761,28.71,2604,127,76244,3,2.0,1,2013,True
354333,285.29,1242,12,76107,3,1,0,2014,True
286139,112.34,2547,143,76028,4,0.0,0,1939,False
274182,164.67,1665,38,76180,2,3.0,1,1964,True
293311,213.16,1376,1,76020,3,1,0,1950,True
362760,145.45,2494,79,76028,2,2.0,1,1965,True
522617,266.78,1959,256,76040,2,3.0,1,2006,True
230310,173.82,1325,172,76117,2,2,0,1948,False
275420,154.64,1781,154,76020,4,2.0,1,1998,True
356574,202.83,1758,97,76120,4,3.0,1,1954,False
329243,231.7,1421,10,76107,2,1,0,2018,False
383926,163.37,2350,33,76126,2,0.0,0,1938,False
646326,285.73,2262,188,76028,3,2.0,1,1983,True
497458,179.46,2772,35,76135,4,0.0,0,1996,True
416798,129.32,3223,81,76002,5,0.0,0,2013,True
286445,135.69,2111,136,76020,3,0.0,0,2000,True
367974,256.25,1436,290,76107,2,1,0,1949,False
331682,318.93,1040,44,76013,3,1,0,1937,False
115750,52.95,2186,28,76244,4,0.0,0,2007,False
323703,196.54,1647,55,76036,4,3.0,1,2004,True
359319,79.78,4504,2,76017,5,4.0,1,1981,True
355185,226.09,1571,6,76107,3,3.0,1,1932,False
538091,161.3,3336,167,76052,5,4.0,1,1991,True
391449,63.53,6162,46,76109,8,5.0,1,1952,True
289925,179.52,1615,27,76040,2,0.0,0,2007,True
403935,305.09,1324,47,76017,3,2,0,1936,False
434506,174.22,2494,182,76052,2,0.0,0,2006,False
276569,170.83,1619,218,76180,3,0.0,0,1954,True
292291,144.7,2020,3,76140,3,2.0,1,1976,True
427665,122.02,3505,10,76017,4,0.0,0,1986,False
141721,40.74,3479,132,76040,3,5.0,1,1989,False
102760,65.54,1568,140,76244,2,3.0,1,2008,True
229883,175.48,1310,267,76117,3,1,0,2015,True
378563,217.69,1739,217,76120,4,2.0,1,1980,True
516003,172.29,2995,57,76135,3,5.0,1,1967,False
248722,138.87,1791,9,76013,2,2.0,1,1992,True
232879,174.83,1332,226,76117,3,2,0,1972,False
1274875,232.09,5493,37,76092,8,4.0,1,2009,True
58809,20.15,2919,122,75052,4,0.0,0,1992,True
554974,145.78,3807,177,76052,5,4.0,1,1985,True
299083,243.95,1226,40,76140,3,2,0,1931,False
236332,114.06,2072,29,76140,3,0.0,0,1968,True
193288,119.31,1620,8,76040,2,2.0,1,1967,False
231553,170.89,1355,217,76117,2,2,0,1968,False
314957,144.81,2175,94,76020,4,2.0,1,1960,True
745402,210.68,3538,41,76028,5,5.0,1,1981,True
388920,250.59,1552,123,76107,2,0.0,0,1956,False
345045,60.03,5748,5,76109,8,5.0,1,1943,False
379938,150.23,2529,252,76036,4,0.0,0,2015,False
439104,221.32,1984,33,76126,4,0.0,0,1963,False
294904,70.77,4167,125,76017,5,5.0,1,1935,False
371084,285.67,1299,363,76107,2,1,0,1982,True
354559,203.3,1744,317,76120,4,0.0,0,1991,True
635429,562.82,1129,33,76052,3,1,0,1961,False
349327,148.46,2353,371,76040,3,0.0,0,2005,False
637757,211.39,3017,47,76052,5,5.0,1,1995,False
121398,62.77,1934,165,76244,4,3.0,1,2007,True
254428,133.42,1907,123,76180,4,0.0,0,1999,True
363440,171.76,2116,44,76028,3,2.0,1,1968,False
503251,235.27,2139,141,76135,2,3.0,1,1945,False
111459,62.2,1792,18,76180,2,0.0,0,1935,False
236704,85.02,2784,190,76135,3,0.0,0,1956,False
337466,204.77,1648,403,76013,4,2.0,1,1962,False
469322,284.09,1652,173,76052,3,2.0,1,1944,True
487489,173.11,2816,27,76126,5,4.0,1,2008,False
289935,274.3,1057,251,76114,3,2,0,1956,False
309697,101.97,3037,225,76126,3,0.0,0,1986,True
562116,358.72,1567,4,76180,2,0.0,0,2007,False
112677,45.64,2469,135,76244,3,3.0,1,1988,False
401870,111.48,3605,64,76002,5,4.0,1,1965,False
269606,252.44,1068,1,76140,3,2,0,2004,False
123639,60.28,2051,19,76244,2,2.0,1,1969,False
256682,130.76,1963,245,76013,3,3.0,1,1958,False
358590,225.39,1591,48,76120,2,0.0,0,2011,False
527611,310.72,1698,28,76028,3,2.0,1,1971,True
298785,133.09,2245,38,76140,2,3.0,1,2015,True
335287,218.14,1537,120,76107,2,0.0,0,1930,True
361979,189.82,1907,236,76109,2,3.0,1,1962,True
324636,206.64,1571,101,76107,2,0.0,0,1959,True
666570,336.65,1980,32,76040,2,0.0,0,2018,True
358773,249.49,1438,58,76107,2,1,0,2004,True
760483,213.8,3557,0,76135,5,5.0,1,1948,False
319565,229.9,1390,0,76020,3,2,0,1938,True
314560,161.23,1951,184,76036,2,0.0,0,1943,False
483525,170.68,2833,95,76126,3,4.0,1,1947,True
339219,93.91,3612,37,76002,3,3.0,1,1933,False
333739,94.38,3536,88,76002,3,5.0,1,2006,True
323802,79.58,4069,44,76109,6,6.0,1,1962,True
238359,183.92,1296,145,76117,2,2,0,1986,True
353562,283.3,1248,4,76107,3,1,0,1935,False
225921,160.11,1411,204,76114,2,2,0,1956,True
361259,146.79,2461,79,76036,4,0.0,0,2012,True
230707,173.07,1333,349,76117,2,1,0,1959,False
720415,187.02,3852,244,76052,3,0.0,0,1933,False
1503235,414.0,3631,109,76092,4,5.0,1,1956,False
442460,254.29,1740,65,76002,3,0.0,0,1963,False
371002,286.27,1296,79,76028,2,2,0,1995,True
561900,134.27,4185,4,76109,6,6.0,1,1999,False
217461,108.95,1996,289,76040,3,0.0,0,1979,True
471413,455.91,1034,143,76109,3,1,0,1960,True
156764,85.76,1828,21,76244,3,3.0,1,2000,True
156243,142.17,1099,100,76114,2,2,0,2007,False
228214,164.42,1388,126,76117,3,1,0,1944,True
390063,174.14,2240,105,76017,2,0.0,0,2001,False
232708,175.76,1324,65,76117,3,1,0,2013,False
374040,256.54,1458,0,76120,2,2,0,1988,False
237064,121.88,1945,51,76180,3,0.0,0,1936,True
526478,180.73,2913,5,76052,5,5.0,1,2005,False
198255,128.07,1548,74,76013,4,0.0,0,2011,True
485317,239.78,2024,241,76180,4,0.0,0,1946,True
353108,183.62,1923,275,76180,2,0.0,0,2001,True
393407,245.42,1603,138,76002,4,0.0,0,1933,True
236532,186.83,1266,15,76117,2,2,0,2009,True
328018,128.53,2552,71,76002,4,0.0,0,1975,True
281973,148.41,1900,46,76140,3,2.0,1,1997,False
308892,35.31,8749,117,76109,8,6.0,1,1985,True
389812,234.12,1665,55,76036,3,0.0,0,1996,False
339323,256.67,1322,78,76013,2,2,0,1995,True
573429,146.77,3907,35,76052,4,5.0,1,1990,False
334910,144.23,2322,219,76002,2,3.0,1,1973,True
388768,264.11,1472,260,76020,3,1,0,2015,True
237788,133.66,1779,134,76180,3,0.0,0,1978,False
294725,199.81,1475,126,76114,2,1,0,1949,False
526649,251.5,2094,65,76028,3,0.0,0,1993,False
365516,273.18,1338,82,76107,3,1,0,2007,True
206628,100.7,2052,28,76040,4,3.0,1,1962,True
374027,146.5,2553,45,76135,2,0.0,0,1940,False
470712,313.39,1502,166,76028,4,2.0,1,2001,True
290074,97.27,2982,163,76028,5,0.0,0,1985,True
160359,110.67,1449,64,76114,3,1,0,1963,False
360760,263.33,1370,206,76120,3,2,0,1960,False
241606,164.25,1471,432,76114,3,2,0,1978,False
234866,33.65,6979,185,76109,7,5.0,1,1933,True
632532,102.5,6171,132,76109,7,6.0,1,1942,True
298464,238.77,1250,10,76013,2,1,0,2016,False
1364422,340.68,4005,11,76092,7,4.0,1,2014,False
731623,211.27,3463,0,76028,5,4.0,1,1997,True
919922,171.05,5378,243,76092,6,6.0,1,1936,False
617931,211.26,2925,57,76028,5,0.0,0,1979,False
252249,190.66,1323,37,76013,2,2,0,1941,False
234755,172.36,1362,11,76117,3,2,0,2015,True
336104,135.42,2482,162,76002,4,0.0,0,1943,False
292536,174.02,1681,46,76020,4,0.0,0,1941,True
162477,99.19,1638,57,76114,3,0.0,0,2004,False
268765,96.12,2796,304,76002,2,0.0,0,1953,False
202335,113.48,1783,140,76114,4,0.0,0,2004,False
598642,159.98,3742,323,76109,4,0.0,0,1948,False
321411,155.27,2070,12,76028,4,2.0,1,1941,True
362040,268.78,1347,0,76107,3,1,0,1967,False
236097,128.52,1837,44,76114,2,0.0,0,2000,False
380683,90.92,4187,261,76017,7,5.0,1,1989,False
604287,346.49,1744,94,76028,3,2.0,1,1953,False
1481832,327.26,4528,230,76092,6,5.0,1,1968,True
327775,220.72,1485,141,76107,2,2,0,2017,True
195847,126.52,1548,114,76114,3,3.0,1,2006,False
155212,76.35,2033,217,76244,4,0.0,0,1974,True
620167,250.57,2475,130,76052,3,0.0,0,1977,False
231278,164.85,1403,45,76117,2,1,0,1938,False
321022,129.97,2470,96,76002,3,0.0,0,1942,False
350379,146.36,2394,2,76017,3,2.0,1,2000,True
301479,94.04,3206,239,76002,4,5.0,1,1942,False
337572,167.03,2021,22,76040,3,0.0,0,1950,False
114427,52.85,2165,378,76244,3,3.0,1,1951,True
392969,130.17,3019,28,76126,5,4.0,1,1964,True
1079151,292.93,3684,250,76092,4,0.0,0,1971,False
260791,84.43,3089,169,76140,3,5.0,1,1971,True
308037,94.66,3254,291,76135,5,5.0,1,2006,True
204331,169.71,1204,0,76114,2,1,0,1950,True
292549,103.08,2838,5,76017,5,4.0,1,1998,False
228634,168.73,1355,24,76117,3,2,0,1976,True
303188,159.49,1901,200,76002,3,2.0,1,1985,False
1963848,431.8,4548,109,76092,8,6.0,1,2004,True
233470,177.68,1314,126,76117,3,1,0,1936,True
408864,153.13,2670,4,76002,4,2.0,1,2012,True
1256133,418.43,3002,5,76092,4,3.0,1,1956,True
241165,120.58,2000,300,76140,3,0.0,0,1943,True
493317,186.51,2645,8,76028,3,0.0,0,1997,True
320089,236.4,1354,8,76013,3,2,0,2007,True
334154,123.9,2697,89,76109,4,0.0,0,1953,False
1217913,465.21,2618,2,76092,4,0.0,0,1931,False
321633,72.67,4426,75,76017,8,4.0,1,1956,True
525435,312.2,1683,136,76040,4,2.0,1,1977,False
353645,244.23,1448,65,76107,2,2,0,1966,True
94269,36.58,2577,110,76109,4,3.0,1,1985,False
199695,66.7,2994,13,76135,4,5.0,1,1940,True
481506,216.7,2222,9,76017,3,3.0,1,1949,False
383774,248.08,1547,62,76120,4,2.0,1,1959,False
316246,136.2,2322,68,76036,4,3.0,1,1978,False
309962,205.41,1509,39,76013,4,0.0,0,1986,True
201239,89.8,2241,42,76020,3,2.0,1,2011,True
949855,344.03,2761,242,76052,2,3.0,1,1959,True
370280,298.85,1239,93,76107,2,1,0,1974,False
248606,167.64,1483,154,76020,3,2,0,1993,False
282681,107.73,2624,403,76140,3,0.0,0,1967,False
397969,122.41,3251,160,76002,4,4.0,1,1982,True
420965,353.46,1191,148,76109,2,2,0,1957,True
542148,255.25,2124,88,76040,4,2.0,1,2011,True
401031,132.05,3037,13,76135,4,3.0,1,1945,False
473692,100.13,4731,246,76109,5,4.0,1,1958,True
1032342,200.11,5159,86,76092,7,6.0,1,1939,False
141018,79.4,1776,33,76040,3,0.0,0,1964,False
417505,70.82,5895,156,76109,7,5.0,1,1979,True
351276,143.67,2445,6,76036,3,0.0,0,1939,False
372552,124.56,2991,236,76020,4,5.0,1,1998,False
1357848,333.62,4070,32,76092,5,5.0,1,1963,False
565025,323.61,1746,102,76040,3,0.0,0,1941,False
362436,130.0,2788,293,76002,2,3.0,1,1943,False
453069,188.78,2400,191,76135,4,0.0,0,2004,False
338356,210.16,1610,257,76013,3,3.0,1,1987,False
124226,49.1,2530,122,76244,4,0.0,0,2009,True
49455,20.45,2418,40,75052,2,0.0,0,1976,False
305479,144.43,2115,55,76140,3,2.0,1,1983,True
298734,259.09,1153,157,76013,2,2,0,1985,True
310855,127.71,2434,1,76017,4,2.0,1,2013,True
356917,234.35,1523,27,76120,2,0.0,0,1945,False
328564,160.28,2050,122,76013,3,3.0,1,1949,False
282963,163.66,1729,28,76180,3,3.0,1,2003,True
309762,110.35,2807,341,76126,4,5.0,1,1947,False
501294,275.89,1817,12,76180,2,0.0,0,1975,True
364784,349.74,1043,112,76120,3,2,0,1960,False
514756,193.15,2665,118,76135,4,3.0,1,2011,False
545692,196.08,2783,153,76028,4,0.0,0,1984,False
142325,121.44,1172,96,76114,2,1,0,2003,False
121353,36.34,3339,52,75052,5,5.0,1,1979,False
311446,159.31,1955,107,76036,4,0.0,0,1973,False
226197,163.56,1383,16,76117,3,2,0,2016,False
389686,132.82,2934,22,76017,4,5.0,1,2006,False
359369,173.52,2071,216,76017,3,2.0,1,2005,True
296680,213.13,1392,80,76107,2,1,0,1953,True
291307,111.96,2602,326,76135,2,3.0,1,1986,True
328578,130.54,2517,1,76140,3,0.0,0,2015,False
291380,145.04,2009,173,76114,4,3.0,1,1956,True
492256,489.32,1006,40,76040,2,1,0,1985,True
305658,165.67,1845,431,76013,2,2.0,1,2000,False
379714,101.96,3724,238,76002,3,5.0,1,2018,True
307232,144.72,2123,5,76002,4,3.0,1,1999,True
540635,64.54,8377,153,76109,5,6.0,1,2018,False
453680,199.86,2270,169,76135,4,0.0,0,1974,False
285173,154.31,1848,292,76180,3,0.0,0,1965,False
641976,231.51,2773,73,76052,2,3.0,1,2001,True
460292,347.65,1324,7,76017,2,1,0,1955,True
358210,243.85,1469,244,76120,2,1,0,2018,True
328305,252.54,1300,322,76013,3,1,0,2006,True
446853,75.05,5954,46,76109,7,4.0,1,2010,False
204681,160.41,1276,154,76020,2,1,0,1997,False
333841,202.08,1652,24,76013,2,0.0,0,1962,True
632917,316.93,1997,98,76040,2,0.0,0,2003,True
989642,352.94,2804,147,76126,5,0.0,0,1996,True
199464,113.98,1750,81,76180,2,2.0,1,1940,True
701602,224.94,3119,174,76052,5,4.0,1,2018,False
383626,168.26,2280,383,76036,4,3.0,1,1938,False
522286,288.72,1809,62,76180,2,0.0,0,2003,True
424289,294.85,1439,111,76020,3,1,0,1937,True
373051,225.27,1656,144,76120,4,3.0,1,1972,False
290309,66.42,4371,0,76017,8,4.0,1,1974,False
302307,89.33,3384,133,76028,3,5.0,1,1966,True
328251,182.87,1795,70,76036,3,0.0,0,1947,False
242845,110.53,2197,24,76140,3,3.0,1,2017,False
821687,341.52,2406,119,76126,2,3.0,1,1959,True
230708,177.88,1297,175,76117,2,2,0,1941,True
265220,46.43,5712,109,76109,5,5.0,1,2011,False
384456,315.9,1217,83,76020,2,1,0,1942,True
945527,227.45,4157,38,76052,5,6.0,1,2011,False
529240,306.1,1729,1,76180,4,0.0,0,1975,True
342314,159.29,2149,106,76040,2,0.0,0,2006,False
423886,187.89,2256,183,76036,2,3.0,1,1996,False
804827,371.23,2168,21,76028,3,0.0,0,1952,False
299115,124.89,2395,20,76028,2,2.0,1,1931,False
460766,146.88,3137,36,76017,3,4.0,1,1971,False
566077,328.54,1723,51,76052,4,2.0,1,1932,False
222553,190.22,1170,294,76114,2,2,0,1993,True
229454,182.25,1259,114,76117,2,1,0,1937,True
310036,143.8,2156,18,76017,2,2.0,1,1976,False
258881,182.05,1422,133,76036,2,2,0,1931,False
345152,243.06,1420,6,76013,3,1,0,1999,True
502783,173.43,2899,9,76126,4,4.0,1,2009,False
445360,198.03,2249,119,76135,2,0.0,0,1987,False
237873,125.39,1897,43,75052,3,3.0,1,2005,True
235138,183.13,1284,100,76117,3,1,0,1969,False
349315,136.29,2563,122,76135,2,0.0,0,1954,True
235230,116.74,2015,236,76135,3,0.0,0,1935,False
312329,176.96,1765,188,76013,3,0.0,0,1985,True
384694,300.31,1281,7,76120,3,1,0,1985,False
373062,137.46,2714,138,76017,3,0.0,0,2009,True
1575373,388.5,4055,18,76092,5,5.0,1,2000,True
